"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Regression","Redirects","Redirects from Desktop to Mobile without Auth","5","0","24","0","0"
"Regression","Search","Search on poned page","0","1","2","0","0"
"Regression","Redirects","Redirects from Desktop to Mobile with Auth","1","5","22","0","0"
"Regression","Waiting List","Waiting List Page","0","0","11","0","0"
"Regression","Account","Common","0","0","15","0","0"
"Regression","Poned","Poned Page","0","1","5","0","0"
"Regression","Basket","Poned To Basket","0","0","5","0","0"
"Regression","Poned","My Groups Page","0","0","10","0","0"
"Regression","Home Page","Home Page Common","0","0","7","0","0"
"Regression","Poned","Filters on Poned Page","0","0","7","0","0"
"Regression","Basket","Authorized User Basket","0","0","5","0","0"
"Regression","Catalog","Common","0","0","1","0","0"
"Regression","Waiting List","Waiting List To Basket","0","1","3","0","0"
"Regression","Basket","Basket To Poned","0","0","3","0","0"
"Regression","Search","Search with suggest","0","0","4","0","0"
"Regression","Poned","Common Poned","0","0","1","0","0"
"Regression","Poned","Product Card Page","0","0","2","0","0"
"Regression","Basket","Unauthorized User Basket","0","0","1","0","0"
"Regression","Common","Main Menu","0","0","1","0","0"
"Regression","Search","Search by vendor code","0","0","3","0","0"
"Regression","Search","Home page search","0","0","1","0","0"
